date,network,daypart,viewers
201404,A,"M,T,W,R,F 6:00 AM - 10:00 AM",135
201404,B,"M,T,W,R,F 6:00 AM - 10:00 AM",216
201404,A,"S,Su 1:00 PM - 8:00 PM",408
201404,B,"S,Su 1:00 PM - 8:00 PM",529
201405,A,"S,Su 8:00 AM - 1:00 PM",216
201405,B,"S,Su 8:00 AM - 1:00 PM",371
201405,A,"S,Su 6:00 AM - 8:00 AM",101
201405,B,"S,Su 6:00 AM - 8:00 AM",0
201405,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",239
201405,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",296
201405,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",456
201405,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",534
201405,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",657
201405,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",986
201405,A,"M,T,W,R,F 6:00 PM - 8:00 PM",290
201405,B,"M,T,W,R,F 6:00 PM - 8:00 PM",541
201405,A,"M,T,W,R,F 4:00 PM - 6:00 PM",193
201405,B,"M,T,W,R,F 4:00 PM - 6:00 PM",370
201405,A,"M,T,W,R,F 1:00 PM - 4:00 PM",176
201405,B,"M,T,W,R,F 1:00 PM - 4:00 PM",304
201405,A,"M,T,W,R,F 10:00 AM - 1:00 PM",144
201405,B,"M,T,W,R,F 10:00 AM - 1:00 PM",302
201405,A,"M,T,W,R,F 6:00 AM - 10:00 AM",130
201405,B,"M,T,W,R,F 6:00 AM - 10:00 AM",225
201405,A,"S,Su 1:00 PM - 8:00 PM",339
201405,B,"S,Su 1:00 PM - 8:00 PM",540
201406,A,"S,Su 8:00 AM - 1:00 PM",204
201406,B,"S,Su 8:00 AM - 1:00 PM",361
201406,A,"S,Su 1:00 PM - 8:00 PM",326
201406,B,"S,Su 1:00 PM - 8:00 PM",562
201406,A,"M,T,W,R,F 6:00 AM - 10:00 AM",124
201406,B,"M,T,W,R,F 6:00 AM - 10:00 AM",229
201406,A,"M,T,W,R,F 10:00 AM - 1:00 PM",154
201406,B,"M,T,W,R,F 10:00 AM - 1:00 PM",338
201406,A,"M,T,W,R,F 1:00 PM - 4:00 PM",180
201406,B,"M,T,W,R,F 1:00 PM - 4:00 PM",352
201406,A,"M,T,W,R,F 4:00 PM - 6:00 PM",199
201406,B,"M,T,W,R,F 4:00 PM - 6:00 PM",364
201406,A,"M,T,W,R,F 6:00 PM - 8:00 PM",276
201406,B,"M,T,W,R,F 6:00 PM - 8:00 PM",508
201406,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",654
201406,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",979
201406,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",458
201406,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",554
201406,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",238
201406,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",298
201406,A,"S,Su 6:00 AM - 8:00 AM",121
201406,B,"S,Su 6:00 AM - 8:00 AM",0
201407,A,"S,Su 8:00 AM - 1:00 PM",218
201407,B,"S,Su 8:00 AM - 1:00 PM",366
